symbol1	symbol2	score	gene1	gene2
H2AC14	H2AC11	5.03446238430539	8331	8969
H2AC12	H2AC11	5.03444234439525	85235	8969
BRCA1	BRCA2	5.03314635184482	672	675
UIMC1	ABRAXAS1	5.03297008985182	51720	84142
TAF6L	TAF5L	5.03286771357469	10629	27097
H2AC14	H2AC16	5.03283950105472	8331	8332
H2AC13	H2AC12	5.03142768476052	8329	85235
TAF5L	SUPT20H	5.03099758287339	27097	55578
H2AC13	H2AC17	5.03042631164318	8329	8336
H2AC16	H2AC12	5.03041329954062	8332	85235
NEIL2	NEIL3	5.03035494887269	252969	55247
UBE2N	UBE2V1	5.03031352428706	7334	7335
FANCE	FANCB	5.03013672485749	2178	2187
H2AC17	H2AC11	5.02950392568156	8336	8969
H2AC14	H2AC4	5.02820355513783	8331	8335
SMARCA4	ACTL6A	5.02746089635821	6597	86
H2AC21	H2AC20	5.02721443650625	317772	8338
NCAPH2	NCAPG2	5.02708658974694	29781	54892
H2AC13	H2AC4	5.02556463401424	8329	8335
H2AC7	H2AC4	5.02471755936443	3013	8335
H2AC4	H2AC11	5.02362064298254	8335	8969
H2AC8	H2AC4	5.02255667790353	3012	8335
FANCE	FAAP100	5.02254168452993	2178	80233
DDB1	CUL4B	5.02112916488418	1642	8450
RAD51	RAD51D	5.02110766698028	5888	5892
XRCC5	NHEJ1	5.02087533692364	7520	79840
PNKP	XRCC1	5.02084425575082	11284	7515
FANCB	UBE2T	5.02066483455053	2187	29089
H2AC4	H2AC12	5.02039668345764	8335	85235
CCNA2	CCNA1	5.02000566817582	890	8900
LIG3	NEIL1	5.01959805922653	3980	79661
ERCC2	GTF2H2	5.01918837783161	2068	2966
TEN1	CTC1	5.01912620537543	100134934	80169
H2AC14	H2AC17	5.01608642774859	8331	8336
RPA1	BLM	5.01573648675928	6117	641
H2AC8	H2AC7	5.0142455866945	3012	3013
UBA1	UBA7	5.01365346621515	7317	7318
TOPBP1	BRIP1	5.01361915306354	11073	83990
GTF2H2	GTF2H4	5.01329753259363	2966	2968
XRCC1	NEIL1	5.01272698047321	7515	79661
H2AC8	H2AC15	5.01272630337599	3012	8330
ERCC3	GTF2H3	5.01153852998691	2071	2967
SMARCC2	SMARCD1	5.01135571550662	6601	6602
H2AC21	H2AC4	5.01120077982262	317772	8335
MSH2	PMS2	5.00951026280782	4436	5395
FAAP20	FANCA	5.00933504964115	199990	2175
TADA3	SGF29	5.00654981866267	10474	112869
FANCB	FAAP24	5.00632358135825	2187	91442
SLX1A	SLX4	5.00572214784218	548593	84464
ERCC3	GTF2H5	5.00518768236196	2071	404672
PRKDC	XRCC5	5.00487341795206	5591	7520
POLD2	POLD4	5.0029556506264	5425	57804
SMC4	SMC2	5.00038752574728	10051	10592
GTF2H1	GTF2H3	5.00027545096662	2965	2967
BABAM1	BABAM2	4.99979912132131	29086	9577
FANCB	FANCF	4.99934474012889	2187	2188
LIG4	XRCC5	4.99720837591615	3981	7520
KDM5C	KDM5D	4.99710527066594	8242	8284
KDM5A	KDM5C	4.99710527066594	5927	8242
KDM5A	KDM5D	4.99710527066594	5927	8284
CCND1	CCND2	4.99636611986052	595	894
SUMO2	SUMO1	4.99525065330402	6613	7341
SUMO3	SUMO1	4.99525065330402	6612	7341
HDAC1	RBBP4	4.99496754184019	3065	5928
MLH1	PMS1	4.9941997262011	4292	5378
SMC4	NCAPG	4.99406779726731	10051	64151
BRCA1	PALB2	4.99380879452013	672	79728
BABAM1	ABRAXAS1	4.99337801916971	29086	84142
KDM5B	KDM5C	4.99204820831631	10765	8242
